Section,Title,Session,Days,Start time,End time,Status,Unit
004L-LAB (1388),STATS101,7W2,Tu,14.45,16,32,0
001-SEM (1067),STATS201,7W2,TuTh,8.3,11,18,4
001-LEC (1374),STATS202,7W2,MoWe,12,14.3,40,4
001L-LAB (1375),STATS202,7W2,We,18,19.15,40,0
001-LEC (1303),STATS211,7W2,MoTuWeTh,10,11.15,40,4
001R-REC (1304),STATS211,7W2,Tu,19.15,20.15,40,0
001-SEM (1346),STATS303,7W2,TuTh,8.3,11,40,4
001R-REC (1347),STATS303,7W2,Th,11.45,13,40,0
001-SEM (1404),STATS402,7W2,MoWe,14.45,17.15,40,4
002-SEM (1470),WOC107,7W2,MoWe,13.15,14.3,14,2
002-SEM (1472),WOC108,7W2,TuTh,14.45,16,14,2
002-SEM (1474),WOC110,7W2,TuTh,14.45,16,14,2
002-SEM (1476),WOC206,7W2,MoWe,14.45,16,14,2
001-SEM (1556),WOC212,7W2,MoWe,10,11.15,14,2
002-SEM (1557),WOC212,7W2,TuTh,10,11.15,14,2
001-SEM (1479),WOC214,7W2,MoWe,16.15,17.3,10,2
001-SEM (1482),WOC216,7W2,TuTh,14.45,16,14,2
002-SEM (1484),WOC218,7W2,TuTh,13.15,14.3,14,2
002-SEM (1825),WOC219,7W2,TuTh,14.45,16,14,2
